_step,loss/max,loss/min,loss/mean,loss/median,loss/std
0,0.00022729426564183086,-0.00020295610011089593,7.381901923508849e-06,4.3142345020896755e-06,6.313878111541271e-05
1,0.00046989062684588134,-0.0003693999897222966,3.485308843664825e-05,1.0188065061811358e-05,0.00013897976896259934
2,0.0007502794032916427,-0.0002618536236695945,1.8298422219231725e-05,5.527456323761726e-06,0.0001041970681399107
3,0.0006850814097560942,-0.0006200564675964415,2.2026233637006953e-05,7.308858130272711e-06,0.00015392347995657474
4,0.00036527510383166373,-0.00030816972139291465,1.8710685253608972e-05,5.378335117711686e-06,0.00010307638149242848
5,0.0010634659556671977,-0.0013940478675067425,2.9566326702479273e-05,1.1524189176270738e-05,0.00024924130411818624
6,0.001189877395518124,-0.0004891069256700575,2.6160754714510404e-05,7.953584827191662e-06,0.0001929036370711401
7,0.000491246348246932,-0.00043538035242818296,2.2628351871389896e-05,7.03456180417561e-06,0.00013492675498127937
8,0.0002647334767971188,-0.00022477364109363407,9.765534741745796e-06,6.998641765676439e-06,7.62634226703085e-05
9,0.0005400973604992032,-0.001554297050461173,1.3834737728757318e-05,1.0079643288918305e-05,0.00019684342260006815
10,0.0002556077088229358,-0.0002739833726081997,1.587635233590845e-05,1.0761921657831408e-05,8.752346184337512e-05
11,0.0007004536455497146,-0.00048646144568920135,4.1043866076506674e-05,1.2995833458262496e-05,0.0001609258324606344
12,0.0005266922526061535,-0.0003770746407099068,2.9430533686536364e-05,5.7058823585975915e-06,0.00016475870506837964
13,0.00035755816497839987,-0.0003098221786785871,2.0437426428543404e-05,9.956447684089653e-06,0.00011155694664921612
14,0.0006232119048945606,-0.0010126058477908373,3.0069149943301454e-05,7.282921615114901e-06,0.0002315625170012936
15,0.0006309286691248417,-0.0007869888795539737,4.15357353631407e-05,7.867176464060321e-06,0.00020430766744539142
16,0.0004805373027920723,-0.0002695160801522434,1.6638923625578173e-05,3.998603006039048e-06,0.00011729744437616318
17,0.0012150168186053634,-0.0004541814560070634,4.3342759454390034e-05,8.675851859152317e-06,0.00023709749802947044
18,0.001183574553579092,-0.0012263141106814146,5.979597335681319e-05,3.358917456353083e-05,0.00040773654473014176
19,0.000580207328312099,-0.00027678333572112024,4.5008582674199715e-05,9.40822337724967e-06,0.00014575223030988127
20,0.0005046002333983779,-0.0005613638204522431,3.846818799502216e-05,8.785253157839179e-06,0.00019211298786103725
21,0.0004944957327097654,-0.00042475914233364165,3.691335950861685e-05,2.1251258658594452e-05,0.00019031675765290856
22,0.0007928707636892796,-0.000632244162261486,3.854185706586577e-05,1.2433771189535037e-05,0.00022605150297749788
23,0.0005464464193210006,-0.0004068876150995493,3.4963861253345385e-05,1.726137998048216e-05,0.00017503317212685943
24,0.0005812526796944439,-0.00044735081610269845,4.220187111059204e-05,1.7919206811711774e-06,0.0002126561594195664
25,0.0008726114756427705,-0.001364844269119203,3.0367962608579546e-05,2.6591122150421143e-05,0.0003858961572404951
26,0.0006294103222899139,-0.001335044507868588,4.5482898713089526e-05,3.355010994710028e-05,0.0003063482290599495
27,0.0013946550898253918,-0.001203858177177608,5.850087836734019e-05,2.3731270630378276e-05,0.00031229734304361045
28,0.0009684137185104191,-0.0006191284628584981,7.29190360289067e-05,5.0923419621540233e-05,0.0003529683453962207
29,0.0011371508007869124,-0.0006383724976330996,3.7174351746216416e-05,0.0,0.00031448816298507154
30,0.0006320254178717732,-0.0006681617232970893,2.973534537886735e-05,2.4518238205928355e-05,0.00018778095545712858
31,0.0010229934705421329,-0.0007709104684181511,5.034351488575339e-05,1.0107863090524916e-05,0.0003094554122071713
32,0.0010796160204336047,-0.0014669096563011408,6.791269697714597e-05,4.495111352298409e-05,0.0004006646340712905
33,0.0011990631464868784,-0.0012876929249614477,7.52836131141521e-05,1.2081339264113922e-05,0.00041124806739389896
34,0.0011003670515492558,-0.0005806605913676322,5.616261842078529e-05,1.196335597342113e-05,0.00031118770129978657
35,0.00140655180439353,-0.0011023973347619176,6.324750575004146e-05,3.575152004486881e-05,0.0003989162214566022
36,0.0010505897225812078,-0.0007421359186992049,4.5176828280091286e-05,1.5120175476113218e-06,0.00035730053787119687
37,0.0018151336116716266,-0.0006140121258795261,5.7729143009055406e-05,0.0,0.0004516132757999003
38,0.002954313065856695,-0.0007790492381900549,7.486341201001778e-05,-2.785327751553268e-06,0.000555351551156491
39,0.0011954439105466008,-0.0009638944175094366,6.65023471810855e-05,5.83383152843453e-05,0.0004512487503234297
40,0.0012582583585754037,-0.0004556995118036866,3.5989924072055146e-05,-1.9264993170509115e-05,0.00027332722675055265
41,0.0015440313145518303,-0.000954343588091433,0.00010709637717809528,2.6824645829037763e-05,0.0006328774034045637
42,0.0011602077865973115,-0.0011872687609866261,8.743643411435187e-05,4.203829121252056e-06,0.0004697222320828587
43,0.001939436886459589,-0.001276311813853681,9.722745016915724e-05,5.4498141253134236e-05,0.0004914902965538204
44,0.001431307871825993,-0.0015147100202739239,5.4037922382121906e-05,5.9682086430257186e-05,0.0005348114646039903
45,0.002476020948961377,-0.0015969707164913416,0.00011209235526621342,8.653059921925887e-05,0.0006994794821366668
46,0.0014952386263757944,-0.0013408749364316463,9.553695417707786e-05,5.4815445764688775e-05,0.0005859136581420898
47,0.0016495551681146026,-0.0009367550374008715,8.85970875970088e-05,0.0,0.0005624337354674935
48,0.0016665260773152113,-0.0012637634063139558,0.00011963638826273382,8.600451110396534e-05,0.0006182524957694113
49,0.001646926742978394,-0.001844941172748804,8.778346091276035e-05,5.3874005971010774e-05,0.0006902430322952569
50,0.0023011798039078712,-0.0018970280652865767,0.0001290244545089081,7.779976294841617e-05,0.0007772197714075446
51,0.003524583764374256,-0.0012576064327731729,0.00015633832663297653,1.2722285646304954e-05,0.0009109294041991234
52,0.0023811766877770424,-0.0011869344161823392,9.701547969598323e-05,2.531516474846285e-05,0.0007227733731269836
53,0.0023270822130143642,-0.0014349179109558463,0.00015135898138396442,9.740348468767479e-05,0.0007702131988480687
54,0.0022430496755987406,-0.0019213673658668995,0.00011261436156928539,2.56288331001997e-05,0.0007645497098565102
55,0.0029474508482962847,-0.002044845838099718,0.00018842432473320514,0.00029775177245028317,0.0010043933289125562
56,0.0034535019658505917,-0.002142118290066719,0.00018957706924993545,2.067550849460531e-05,0.0010421393672004342
57,0.0027582207694649696,-0.0026702256873250008,0.0001891716819955036,8.341709326487035e-05,0.0009606567327864468
58,0.002801758935675025,-0.0023399032652378082,0.00023333860735874623,-2.7605496143223718e-05,0.001064385287463665
59,0.004508135374635458,-0.0022427591029554605,0.0003127044183202088,0.00014646780618932098,0.0011824837420135736
60,0.00305054965429008,-0.002542506903409958,0.00029233828536234796,0.0001981414679903537,0.0011588390916585922
61,0.0036240280605852604,-0.003320666728541255,0.00032323412597179413,0.00012720335507765412,0.0014223360922187567
62,0.002475955756381154,-0.00287652388215065,0.000347179506206885,0.0004850816912949085,0.0013442260678857565
63,0.0023217336274683475,-0.0031362613663077354,0.00020359661721158773,0.00014316711167339236,0.0011500281980261207
64,0.004993533715605736,-0.003115755273029208,0.0002821717062033713,0.00013111549196764827,0.0014339365297928452
65,0.003379973117262125,-0.0031128388363868,0.00022983593225944787,3.9704962546238676e-05,0.0012587314704433084
66,0.004421109799295664,-0.0023227352648973465,0.000409463798860088,0.00037616424378938973,0.0014560898998752236
67,0.0026417376939207315,-0.002519074361771345,0.00029846897814422846,0.000546738097909838,0.0011597441043704748
68,0.005148999392986298,-0.0032431348226964474,0.00034764461452141404,0.0003426766488701105,0.001756085897795856
69,0.0036293608136475086,-0.003082338720560074,0.0002512022037990391,0.00014943703718017787,0.0014081408735364676
70,0.0068952725268900394,-0.0023481901735067368,0.00048260833136737347,0.00034871502430178225,0.002171027008444071
71,0.003551166271790862,-0.0033315285108983517,0.00031724426662549376,0.0004975860938429832,0.001570644322782755
72,0.0055664959363639355,-0.003302139462903142,0.00028079847106710076,0.00011348568659741431,0.001609102706424892
73,0.0034913434647023678,-0.002953549148514867,0.0002138387644663453,-3.0188281016307883e-05,0.0014109618496149778
74,0.005668729078024626,-0.003291107714176178,0.0002685893268790096,4.1313811379950494e-05,0.0014966616872698069
75,0.002769679529592395,-0.0026736867148429155,0.00023953014169819653,-1.727499875414651e-05,0.0012194763403385878
76,0.002858672756701708,-0.003212481737136841,0.00023061793763190508,0.00035994924837723374,0.001504461164586246
77,0.0019421856850385666,-0.004075641743838787,0.00016654487990308553,0.0003957070002797991,0.0012384604196995497
78,0.0019097405020147562,-0.0034144206438213587,-9.995097207138315e-05,-0.00012117873120587319,0.001319820061326027
79,0.002793522085994482,-0.010923226363956928,-0.0005152879166416824,0.00026876339688897133,0.003170429728925228
80,0.015089619904756546,-0.002595595782622695,0.0004884224035777152,0.0,0.0031091696582734585
81,0.002299901330843568,-0.0033582886680960655,0.00016072022845037282,0.00020087137818336487,0.0012557152658700943
82,0.002057899720966816,-0.0024464414454996586,0.0001649822952458635,7.16349168214947e-05,0.0008421862148679793
83,0.002840446773916483,-0.002945906948298216,0.0001890475832624361,0.00041980730020441115,0.001587036531418562
84,0.002796543063595891,-0.0017949522007256746,5.2688512369059026e-05,-1.4185482541506644e-05,0.001150308409705758
85,0.001725893234834075,-0.0017661117017269135,4.310587246436626e-05,0.0,0.000840727414470166
86,0.0020442837849259377,-0.0013646885054185987,8.41976361698471e-05,0.0,0.0008603908936493099
87,0.0012044197646901011,-0.0017022760584950447,6.946116627659649e-05,0.00022461348271463066,0.0007564829429611564
88,0.002349262125790119,-0.0027628536336123943,8.65948895807378e-05,5.194824552745558e-05,0.0010466516250744462
89,0.0016153595643118024,-0.0022672521881759167,-5.5832453654147685e-05,0.0,0.0008920443942770362
90,0.0019530769204720855,-0.0016551765147596598,2.51904311880935e-05,0.0,0.0008877580985426903
91,0.0021853919606655836,-0.00562629196792841,-0.00014554902736563236,9.193247387884185e-05,0.0015826420858502388
92,0.0016345486510545015,-0.004877375438809395,-0.00012603160575963557,0.0,0.0011752655263990164
93,0.001700350665487349,-0.0023723552003502846,3.59080985390392e-07,8.34388192743063e-05,0.000848804775159806
94,0.0014700301690027118,-0.0034771603532135487,-0.00018982526671607047,0.0,0.0010297528933733702
95,0.0030946703627705574,-0.004093653988093138,-2.890861105697695e-05,-4.8785579565446824e-05,0.001267486484721303
96,0.0013634462375193834,-0.004011454060673714,-0.00011705511133186519,0.0,0.0010367375798523426
97,0.0010112430900335312,-0.002263191621750593,-5.629031511489302e-05,5.499408075593237e-07,0.0007416372536681592
98,0.0014083285350352526,-0.002598672639578581,-9.183694783132523e-05,2.8763246518792585e-05,0.001084896270185709
99,0.0020875718910247087,-0.0018913219682872295,-3.00151550618466e-05,-0.00015602837083861232,0.0008662791224196553
100,0.02024880424141884,-0.0025580679066479206,0.000675090414006263,-6.157340067147743e-06,0.003925874829292297
101,0.0011437514331191778,-0.0012451133225113153,-9.867990593193099e-05,-0.00018659845227375627,0.0005660680471919477
102,0.0018037417903542519,-0.00136274634860456,-6.614292215090245e-05,-6.263422983465716e-05,0.0006812486099079251
103,0.0014498480595648289,-0.00172230857424438,-2.6785639420268126e-05,0.0,0.0006360774277709424
104,0.00108032813295722,-0.0017051523318514228,-8.773917215876281e-05,0.0,0.0006199322524480522
105,0.0016940295463427901,-0.0021476722322404385,-8.853233157424256e-05,0.0,0.0008147687185555696
106,0.001364486524835229,-0.002180592156946659,-0.00011070091568399221,-6.620489875786006e-05,0.0007229529437609017
107,0.0007560682133771479,-0.0018946562195196748,-0.00010747771011665463,-9.703177056508139e-06,0.0006478212308138609
108,0.0012109405361115932,-0.0018667886033654213,-0.00010983768152073026,-9.684616816230118e-05,0.0007545537664555013
109,0.001717848121188581,-0.0009860380087047815,-3.5065146221313626e-05,0.0,0.0005476824007928371
110,0.0017854997422546148,-0.004405470564961433,-7.654547516722232e-05,0.00015093342517502606,0.001298976014368236
111,0.0010705703170970082,-0.003208871465176344,-9.122751362156123e-05,0.0,0.0008265150827355683
112,0.0012861756840720773,-0.0019197153160348535,-3.4036493161693215e-05,0.0,0.0007094030734151602
113,0.00115179643034935,-0.001606467878445983,-5.253023118712008e-05,7.614916103193536e-05,0.0007127908756956458
114,0.0030410289764404297,-0.006870627403259277,-0.00012564216740429401,0.0,0.00157623877748847
115,0.001530195469968021,-0.002294731792062521,-2.3197299015009776e-05,-3.3003925636876374e-05,0.0007389251259155571
116,0.0013645978178828955,-0.00290957884863019,-0.00015165028162300587,-1.1787396942963824e-05,0.0009569596732035279
117,0.0023476292844861746,-0.004200087860226631,-0.0001310831430600956,0.0,0.0011069445172324777
118,0.0015645318198949099,-0.001669701305218041,-2.2747646653442644e-05,0.00014887202996760607,0.0008628647192381322
119,0.00136910704895854,-0.002107578096911311,-0.00022015272406861186,-9.361614502267912e-05,0.0008000884554348886
120,0.0014313224237412214,-0.0015428535407409072,-0.00019497160974424332,-0.0002853810728993267,0.0007592298788949847
121,0.0009210448479279876,-0.002079572295770049,-9.164149378193542e-05,-4.495838220464066e-05,0.0006296835490502417
122,0.0011099374387413263,-0.0011955423979088664,-7.324383477680385e-05,-8.50282158353366e-05,0.0005683843046426773
123,0.0013051375281065702,-0.001440996304154396,-0.00012233154848217964,-7.35948487999849e-05,0.0006322290282696486
124,0.0006224593962542713,-0.002037002006545663,-4.26564110966865e-05,0.0,0.0005499020917341113
125,0.001528850756585598,-0.003225453430786729,-7.6532072853297e-05,0.0,0.0008732739370316267
126,0.0017119525000452995,-0.00273880991153419,-7.828883826732635e-05,-0.00017291530093643814,0.0008426057174801826
127,0.0012259961804375052,-0.0011248342925682664,-7.315276889130473e-05,-3.8926511479076e-05,0.0005916293011978269
128,0.0011018579825758934,-0.0021085538901388645,-8.268100646091625e-05,-3.5044446121901274e-05,0.000671758723910898
129,0.0023212323430925608,-0.002052428899332881,-1.9530225472408347e-05,6.619571649935097e-05,0.0007614342030137777
130,0.0008309082477353513,-0.0023383733350783587,-0.0001436166639905423,-0.00015562512271571904,0.00065569271100685
131,0.001499479403719306,-0.002760798204690218,-8.081044506980106e-05,0.0,0.0008194454712793231
132,0.0012425759341567755,-0.0030101859010756016,-0.00012002472067251801,-0.0002361745573580265,0.000920982682146132
133,0.0018856364767998457,-0.003211966250091791,-0.00022935803281143308,-0.00010645864676916972,0.0010169032029807568
134,0.002062553307041526,-0.0014958917163312435,-0.00015617517055943608,-0.0003111656988039613,0.0009108256199397147
135,0.0012753137852996588,-0.0016050683334469795,-4.777557842317037e-05,0.0,0.0007088345009833574
136,0.0014912523329257965,-0.0018870806088671088,-6.28393972874619e-05,-3.7101963243912905e-05,0.0007423286442644894
137,0.0012218132615089417,-0.0031209061853587627,-0.0001453262520954013,0.0,0.0009807065362110734
138,0.0014172535156831145,-0.0017636496340855956,-0.00012456525291781873,-0.00010984182154061273,0.0006108500529080629
139,0.0011705466313287616,-0.002891565440222621,-0.00014934883802197874,-5.675042120856233e-05,0.0008839286747388542
140,0.0013771113008260727,-0.004106450360268354,-0.00017930335889104754,5.579295611823909e-05,0.0011727059027180076
141,0.0011300976620987058,-0.004725146573036909,-0.00014628135249949992,4.447231549420394e-05,0.00105384923517704
142,0.0007171136676333845,-0.0029892385937273502,-0.00017420013318769634,7.0803594098833855e-06,0.0008023966802284122
143,0.0013715606182813644,-0.004352207761257887,-0.00018508690118324012,-3.417543848627247e-05,0.0011478869710117579
144,0.00176168920006603,-0.0035470915026962757,-0.00010688824841054156,-5.639266873913584e-06,0.0009987882804125547
145,0.0010223120916634798,-0.0022773342207074165,-5.479055835166946e-05,0.0,0.0007674006628803909
146,0.001718724612146616,-0.002720051910728216,-0.0002564484893810004,-8.640593296149746e-05,0.0009548550006002188
147,0.0010121511295437813,-0.0015114687848836184,-0.00010085193207487464,-0.00010478357580723241,0.0006923501496203244
148,0.0024743545800447464,-0.00125299789942801,-0.00018768016889225692,-0.00022691661433782429,0.0007783567416481674
149,0.0012543410994112492,-0.004661820828914642,-0.00012113100819988176,6.256906544876983e-06,0.0011622359743341804
150,0.002029377268627286,-0.0015300463419407606,-0.00011217748397029936,-8.916600927477702e-05,0.000792862381786108
151,0.0011906936997547746,-0.0026130331680178642,-0.0001811571855796501,-1.674457780609373e-05,0.0007334915571846068
152,0.0008495115325786173,-0.001484010717831552,-3.908168582711369e-05,-5.3055064199725166e-05,0.000623981119133532
153,0.000754586944822222,-0.0017223075265064836,-0.00014786911197006702,-0.00013319140998646617,0.0005695316358469427
154,0.0034663050901144743,-0.0028793448582291603,-0.00010581014066701755,-0.00017163529992103577,0.0013110492145642638
155,0.0009768962627276778,-0.001769408816471696,-0.0001488790294388309,-0.00011368060950189829,0.0007259597186930478
156,0.0013980986550450325,-0.003257774282246828,-9.36749711399898e-05,0.0,0.0008517024689354002
157,0.001387101598083973,-0.02266758680343628,-0.0009636428439989686,1.825411345635075e-05,0.0044996473006904125
158,0.0011989108752459288,-0.006830981001257896,-0.00022898844326846302,0.0,0.0014475072966888547
159,0.0009036963456310332,-0.0032703583128750324,-0.00011775963503168896,-2.6978714231518097e-05,0.0007879508775658906
160,0.0014392082812264562,-0.002238508081063628,-7.683833973715082e-05,-0.00015136833826545626,0.0007709444034844637
161,0.0006029675132595003,-0.001956639112904668,-0.00012261117808520794,0.0,0.0005565223400481045
162,0.0011942816199734807,-0.004776682239025831,-0.0003607615944929421,-7.697204273426905e-05,0.0013146254932507873
163,0.001385397044941783,-0.0014866506680846214,-0.00012435864482540637,-4.475206515053287e-05,0.0007407772936858237
164,0.001694156089797616,-0.00516242440789938,-0.0001072137602022849,0.0,0.0012622253270819783
165,0.0016783277969807386,-0.0013199426466599107,-7.830179674783722e-05,-8.031776815187186e-06,0.0006234839092940092
166,0.002240655943751335,-0.00215170974843204,-0.00011411399464122951,-0.00018837048264686018,0.0010534574976190925
167,0.0011297891614958644,-0.002735474379733205,-0.00017153775843326002,-8.261369657702744e-05,0.0007658095564693213
168,0.0013664074940606952,-0.001918741618283093,-7.444514631060883e-05,4.272307705832645e-05,0.000920252176001668
169,0.0027555229607969522,-0.0037756164092570543,-0.00017004810797516257,-2.6882025849772617e-06,0.0012465844629332423
170,0.001801400212571025,-0.0026052561588585377,-0.00014273656415753067,-2.3477836293750443e-05,0.0008759377524256706
171,0.0011560532730072737,-0.0019437443697825074,-0.0001582150289323181,-9.839159611146897e-05,0.0005914060748182237
172,0.0012458456913009286,-0.001006407430395484,-8.780614734860137e-05,-0.00011991618521278724,0.0005441284738481045
173,0.001554151182062924,-0.0038702823221683502,-0.00027097685961052775,-4.32340893894434e-05,0.001109546865336597
174,0.001320275361649692,-0.003099046880379319,-0.0002057746023638174,-0.00011927825107704848,0.0010092213051393628
175,0.0013336102711036801,-0.0032712346874177456,-0.0001309717627009377,0.0,0.0010021681664511561
176,0.0009844345040619373,-0.0008198032737709582,-5.888281884836033e-05,-9.777204832062125e-05,0.0004840832552872598
177,0.0009326473227702081,-0.005182165652513504,-0.00026105926372110844,0.0,0.001212272560223937
178,0.0009969365783035755,-0.003143975278362632,-0.00016206267173402011,0.0,0.0008050086325965822
179,0.0017082646954804659,-0.0012230430729687214,-4.1076727939071134e-05,0.0,0.0006028756033629179
180,0.0009302262915298343,-0.0015119685558602214,-0.0001546012208564207,-0.00018042110605165362,0.0005786178517155349
181,0.0018400764092803001,-0.0015436335233971477,-4.2555417167022824e-05,-5.3045332606416196e-05,0.000814257247839123
182,0.0011272571282461286,-0.001565073151141405,-9.843599400483072e-05,-0.00010927768016699702,0.000709358137100935
183,0.001563087571412325,-0.00309998681768775,-9.454425889998674e-05,0.000116611787234433,0.0009870602516457438
184,0.0010105340043082833,-0.0014294203137978911,-7.306347106350586e-05,-0.00010271212522638962,0.0006310684257186949
185,0.0007884770748205483,-0.0018573118140920997,-0.0001677055115578696,-4.164559504715726e-05,0.000622619700152427
186,0.0008983698207885027,-0.002973702736198902,-7.217135862447321e-05,0.0,0.0007210365147329867
187,0.0008896524668671191,-0.004481066484004259,-0.00017179179121740162,0.0,0.0010617900406941772
188,0.0009742637048475444,-0.001161534572020173,-0.00016421439067926258,-0.000258234707871452,0.0005183977773413062
189,0.0013196920044720173,-0.0018732724711298943,-8.993198571261019e-05,0.0,0.0007044277735985816
190,0.0013640981633216143,-0.0020295679569244385,-0.00017480537644587457,-0.00018915894906967878,0.0007961103110574186
191,0.0015141853364184499,-0.008014597930014133,-0.0004449817643035203,-5.842356404173188e-05,0.0017454175977036357
192,0.0012521001044660807,-0.001629100413993001,-0.00012291352322790772,-0.00017221618327312171,0.0005960423150099814
193,0.0007107019191607833,-0.0028877779841423035,-0.00014488358283415437,-2.0045306428073673e-06,0.0007684291922487319
194,0.0014854965265840292,-0.0016697498504072428,-6.31480070296675e-05,2.665174542926252e-05,0.0006217486225068569
195,0.002091676229611039,-0.003164921887218952,-6.30481299594976e-05,4.67507425128133e-06,0.0010171119356527925
196,0.0014173936797305942,-0.005944490898400545,-0.00016712681099306792,0.0,0.0012466807384043932
197,0.0007861621561460197,-0.0019096372416242957,-0.00016090965073090047,-0.0001197754027089104,0.0005987004260532558
198,0.0008754878654144704,-0.0018417510436847806,-0.0001718176790745929,-0.0002540134300943464,0.0006765176658518612
